SYNC_ID,TIMESTAMP,MAC,CSI_LEN,CSI_VALUES
0,0.0078,ac:15:18:d5:52:64,128,44 -64 2 0 -11 -21 -11 -21 -13 -19 -12 -18 -11 -19 -12 -19 -11 -17 -13 -18 -12 -18 -13 -18 -13 -16 -13 -17 -12 -18 -12 -18 -12 -20 -11 -19 -10 -18 -9 -18 -9 -17 -8 -17 -8 -16 -7 -15 -7 -17 -6 -15 -5 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -17 -5 -17 -6 -18 -6 -19 -5 -17 -5 -18 -5 -20 -4 -19 -5 -20 -6 -18 -5 -21 -6 -21 -5 -21 -6 -21 -5 -19 -6 -22 -7 -21 -7 -18 -7 -19 -7 -19 -8 -19 -9 -20 -9 -17 -9 -20 -11 -20 -9 -20
2,0.0283,ac:15:18:d5:52:64,128,44 -64 2 0 3 -12 3 -13 2 -13 2 -12 3 -12 2 -12 2 -11 2 -12 2 -12 2 -12 1 -11 1 -12 1 -12 2 -12 2 -12 2 -12 2 -11 3 -11 3 -10 3 -10 2 -10 3 -9 3 -10 3 -9 3 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -9 4 -9 5 -9 5 -10 5 -9 5 -9 5 -10 5 -9 6 -9 5 -10 6 -10 6 -11 6 -10 6 -10 5 -10 6 -11 5 -11 4 -10 5 -10 5 -10 4 -10 4 -11 3 -11 4 -11 3 -12 4 -12
5,0.0508,ac:15:18:d5:52:64,128,44 -64 2 0 10 7 10 7 10 6 10 6 10 6 10 5 9 5 10 5 9 5 10 5 9 5 9 5 9 5 10 5 10 6 10 6 9 6 8 6 8 5 7 6 7 5 6 6 6 6 6 6 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 6 6 6 7 6 7 7 7 6 6 7 7 7 6 7 7 7 7 7 7 9 7 8 7 8 7 8 7 7 7 8 7 8 7 6 8 7 8 7 8 6 9 6 8 6 8 7 9 7 9 7
7,0.0687,ac:15:18:d5:52:64,128,44 -64 2 0 -6 -12 -6 -12 -6 -11 -6 -11 -5 -11 -6 -11 -5 -11 -6 -11 -6 -10 -6 -11 -7 -10 -7 -10 -6 -11 -6 -11 -6 -12 -6 -11 -5 -10 -4 -10 -4 -10 -4 -10 -4 -10 -3 -9 -3 -9 -3 -9 -2 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -10 -2 -10 -2 -10 -3 -11 -2 -10 -2 -11 -2 -11 -2 -10 -2 -12 -2 -11 -2 -12 -2 -12 -2 -12 -2 -12 -2 -12 -2 -12 -3 -12 -3 -10 -3 -11 -3 -11 -3 -11 -4 -11 -4 -10 -4 -11 -5 -12 -5 -12
9,0.0903,ac:15:18:d5:52:64,128,44 -64 2 0 10 -8 9 -7 10 -8 9 -7 10 -7 9 -8 9 -7 9 -8 9 -8 9 -8 8 -8 8 -8 8 -7 9 -8 9 -7 10 -7 9 -7 9 -6 8 -6 8 -5 8 -5 8 -4 8 -4 8 -4 8 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -5 8 -4 9 -5 9 -4 9 -4 9 -4 10 -4 9 -3 10 -4 10 -4 11 -4 11 -4 11 -4 10 -4 9 -4 11 -5 10 -5 9 -5 9 -5 10 -5 9 -5 10 -6 9 -6 10 -6 10 -7 10 -6
10,0.1080,ac:15:18:d5:52:64,128,44 -64 2 0 -17 -16 -17 -16 -19 -15 -17 -14 -17 -14 -17 -14 -16 -14 -18 -13 -17 -14 -18 -14 -16 -13 -17 -13 -16 -13 -18 -14 -17 -14 -17 -15 -16 -14 -14 -14 -14 -13 -12 -14 -13 -13 -12 -13 -11 -14 -9 -13 -9 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -14 -11 -14 -12 -16 -12 -16 -11 -16 -10 -16 -12 -18 -10 -16 -12 -17 -10 -17 -11 -19 -12 -19 -11 -19 -12 -18 -11 -17 -13 -19 -13 -17 -13 -16 -12 -16 -13 -16 -13 -16 -15 -15 -14 -14 -14 -16 -16 -16 -14 -17
13,0.1288,ac:15:18:d5:52:64,128,44 -64 2 0 9 6 8 6 10 5 8 6 8 6 9 5 8 5 9 5 8 5 8 6 7 5 8 5 8 5 9 5 9 6 9 6 8 5 7 6 7 5 6 6 6 5 5 6 5 6 4 6 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 5 6 6 6 6 6 6 6 5 6 6 7 5 6 7 7 6 7 6 8 6 8 5 8 6 8 6 7 7 8 6 7 7 6 6 6 7 7 7 6 8 6 7 6 7 7 8 7 7 7
15,0.1512,ac:15:18:d5:52:64,128,44 -64 2 0 -1 12 -1 12 0 12 0 11 -1 11 0 11 0 11 1 12 0 11 -1 12 0 11 0 11 0 11 0 12 0 12 -1 12 -1 11 -1 10 -1 10 -1 9 -1 9 -2 9 -2 9 -2 8 -3 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 9 -3 9 -3 10 -3 9 -3 9 -4 9 -4 10 -4 9 -4 10 -4 9 -5 11 -5 11 -5 10 -5 10 -4 9 -4 11 -4 10 -3 10 -3 10 -3 11 -2 10 -1 11 -1 10 -3 11 -2 12 -3 11
16,0.1687,ac:15:18:d5:52:64,128,44 -64 2 0 -20 -18 -19 -17 -20 -16 -18 -15 -18 -15 -19 -15 -18 -15 -20 -13 -19 -14 -20 -14 -19 -12 -19 -12 -19 -13 -20 -14 -19 -15 -19 -15 -18 -14 -16 -15 -16 -14 -14 -15 -14 -14 -13 -14 -13 -15 -12 -14 -11 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -15 -12 -15 -13 -17 -13 -17 -12 -17 -12 -17 -13 -18 -11 -17 -13 -18 -12 -17 -13 -20 -14 -19 -13 -20 -13 -19 -12 -17 -15 -20 -14 -18 -15 -16 -14 -17 -14 -17 -14 -16 -17 -16 -16 -15 -16 -17 -18 -17 -16 -17
18,0.1898,ac:15:18:d5:52:64,128,44 -64 2 0 -11 -21 -12 -21 -13 -19 -12 -18 -11 -19 -12 -19 -11 -17 -13 -18 -12 -18 -14 -18 -12 -17 -13 -16 -13 -17 -12 -19 -11 -20 -12 -19 -11 -18 -9 -18 -10 -17 -7 -17 -7 -17 -8 -15 -7 -17 -6 -15 -5 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -17 -6 -17 -6 -18 -6 -19 -5 -19 -5 -20 -5 -20 -5 -18 -5 -20 -6 -19 -6 -22 -7 -21 -5 -21 -6 -21 -6 -19 -7 -22 -7 -20 -7 -18 -8 -19 -7 -20 -7 -19 -9 -19 -10 -17 -9 -20 -11 -21 -9 -20
21,0.2106,ac:15:18:d5:52:64,128,44 -64 2 0 -14 19 -13 21 -10 19 -10 18 -11 18 -11 19 -10 17 -10 19 -8 18 -10 19 -8 18 -9 19 -9 19 -10 19 -11 19 -9 18 -10 18 -12 16 -10 15 -11 15 -10 14 -10 12 -10 14 -10 12 -11 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 13 -12 13 -13 13 -14 14 -13 13 -14 13 -15 13 -14 13 -16 13 -14 14 -15 15 -15 16 -16 14 -15 15 -14 14 -16 15 -15 16 -12 14 -13 15 -13 15 -12 15 -13 17 -10 15 -13 17 -12 19 -12 18
23,0.2305,ac:15:18:d5:52:64,128,44 -64 2 0 -12 -2 -12 -2 -11 -1 -11 -1 -11 -2 -11 -1 -11 -1 -11 -1 -11 -1 -11 -1 -11 0 -11 0 -11 0 -11 -1 -12 -2 -11 -1 -11 -1 -11 -2 -10 -2 -9 -2 -9 -2 -9 -2 -9 -2 -8 -2 -8 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -3 -9 -3 -9 -4 -10 -4 -9 -4 -9 -4 -10 -5 -9 -4 -10 -5 -9 -4 -10 -5 -11 -4 -10 -5 -10 -4 -9 -4 -11 -5 -11 -4 -10 -3 -9 -4 -10 -4 -10 -3 -10 -3 -10 -2 -11 -2 -12 -2 -11 -2
24,0.2490,ac:15:18:d5:52:64,128,44 -64 2 0 -10 8 -10 8 -9 8 -9 8 -9 7 -9 8 -8 8 -8 8 -8 8 -9 8 -8 8 -8 8 -8 9 -9 8 -10 8 -9 8 -9 7 -9 6 -8 6 -9 6 -8 5 -8 5 -8 5 -8 4 -8 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 5 -9 4 -9 5 -10 5 -9 4 -10 4 -10 5 -9 4 -10 4 -10 5 -11 5 -11 5 -11 4 -11 5 -10 5 -11 5 -11 5 -9 5 -10 5 -9 6 -9 6 -9 7 -8 7 -10 6 -10 7 -10 7
26,0.2708,ac:15:18:d5:52:64,128,44 -64 2 0 -7 27 -7 28 -4 26 -4 26 -4 26 -3 26 -4 24 -2 26 -3 24 -3 26 -2 24 -2 25 -3 26 -3 26 -4 27 -4 25 -4 25 -6 23 -5 22 -6 21 -5 21 -6 19 -7 20 -7 18 -8 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 19 -10 19 -10 19 -11 21 -10 19 -11 20 -12 21 -11 19 -12 21 -11 20 -14 22 -12 23 -13 21 -12 22 -11 21 -13 23 -11 23 -8 21 -9 23 -9 22 -8 22 -7 24 -6 22 -9 24 -7 27 -8 25
28,0.2890,ac:15:18:d5:52:64,128,44 -64 2 0 2 11 2 12 3 12 3 11 2 11 3 11 3 10 3 11 3 10 3 11 3 10 3 10 3 10 3 11 3 11 3 11 2 11 1 10 2 9 1 10 1 9 0 9 0 9 0 8 -1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 9 0 10 0 10 0 9 -1 9 -1 10 -1 10 0 10 0 10 -1 11 -1 11 -1 11 -1 11 -1 10 -1 12 0 11 1 10 0 10 1 10 1 10 1 10 2 10 1 11 2 12 2 12
