SYNC_ID,TIMESTAMP,MAC,CSI_LEN,CSI_VALUES
1,0.0005,ac:15:18:d4:c9:64,128,44 -64 2 0 10 -7 11 -8 9 -9 10 -9 10 -8 9 -9 9 -8 9 -9 8 -8 10 -9 9 -9 9 -9 9 -9 9 -9 11 -9 10 -8 10 -8 9 -7 9 -7 9 -7 9 -7 8 -5 9 -6 9 -5 9 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -4 10 -4 9 -4 10 -5 9 -4 10 -4 10 -4 9 -4 11 -4 9 -4 12 -4 11 -5 11 -4 11 -4 10 -5 11 -5 11 -5 9 -5 10 -6 10 -6 10 -6 10 -7 9 -7 10 -6 11 -8 11 -7
3,0.0204,ac:15:18:d4:c9:64,128,44 -64 2 0 10 -8 11 -9 9 -9 9 -9 10 -8 9 -8 9 -8 9 -9 9 -9 9 -9 8 -9 9 -9 9 -9 10 -9 11 -9 10 -9 10 -8 10 -7 9 -7 10 -6 9 -6 8 -6 9 -6 8 -5 9 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -5 9 -5 9 -5 10 -5 9 -5 10 -5 10 -5 9 -4 11 -4 9 -5 11 -5 11 -5 10 -5 11 -5 10 -5 11 -5 11 -6 9 -6 9 -6 10 -6 9 -6 10 -7 8 -7 10 -8 10 -8 10 -8
5,0.0419,ac:15:18:d4:c9:64,128,44 -64 2 0 0 -14 0 -14 -1 -14 0 -13 0 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -14 -2 -13 -2 -13 -2 -13 0 -14 0 -14 0 -14 0 -13 1 -13 1 -12 1 -12 2 -12 1 -11 2 -11 2 -10 3 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -11 2 -11 2 -11 2 -12 2 -11 3 -11 3 -11 3 -11 3 -12 2 -11 3 -12 2 -12 3 -12 3 -12 2 -11 3 -13 2 -13 1 -11 2 -12 2 -12 1 -12 1 -12 0 -11 1 -13 0 -13 1 -14
7,0.0614,ac:15:18:d4:c9:64,128,44 -64 2 0 -22 5 -23 6 -20 7 -20 6 -20 6 -20 7 -19 7 -20 9 -18 7 -20 8 -19 8 -19 9 -20 9 -20 7 -22 7 -21 7 -20 7 -20 5 -18 5 -19 4 -19 4 -17 3 -18 3 -17 2 -17 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 1 -17 0 -18 0 -20 0 -18 0 -19 0 -19 0 -18 0 -19 -1 -18 0 -21 0 -20 1 -20 0 -20 0 -19 1 -21 0 -21 2 -18 2 -19 2 -19 2 -19 3 -20 4 -18 4 -20 4 -21 5 -20 4
9,0.0809,ac:15:18:d4:c9:64,128,44 -64 2 0 -19 13 -18 13 -17 14 -16 13 -16 13 -16 13 -15 12 -15 15 -15 13 -16 14 -15 13 -15 14 -15 14 -16 15 -17 14 -17 14 -16 13 -16 12 -15 12 -16 10 -15 11 -15 9 -16 8 -15 8 -15 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 6 -16 5 -18 6 -18 6 -17 5 -17 5 -19 5 -17 4 -18 6 -17 5 -20 5 -20 6 -20 5 -19 6 -17 5 -20 7 -18 8 -17 8 -17 7 -17 8 -16 8 -17 10 -16 10 -18 9 -18 11 -18 9
11,0.0989,ac:15:18:d4:c9:64,128,44 -64 2 0 -20 8 -22 9 -18 10 -19 9 -19 9 -18 10 -18 9 -18 11 -17 9 -19 10 -17 10 -18 10 -18 11 -19 10 -21 10 -18 10 -19 10 -19 8 -17 8 -18 6 -17 7 -16 5 -17 5 -16 4 -17 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 3 -17 2 -18 3 -20 3 -17 2 -19 2 -19 2 -18 1 -20 2 -18 2 -21 1 -21 2 -20 1 -20 2 -19 2 -20 3 -21 4 -17 5 -19 5 -19 5 -18 5 -19 6 -16 6 -20 6 -20 8 -20 7
13,0.1210,ac:15:18:d4:c9:64,128,44 -64 2 0 -23 5 -23 5 -20 6 -20 6 -21 6 -20 6 -19 7 -20 8 -18 7 -20 8 -18 8 -19 8 -20 8 -20 7 -22 7 -21 7 -20 7 -20 5 -18 5 -18 4 -19 4 -17 3 -18 3 -17 3 -17 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -1 -18 -1 -18 -1 -20 -1 -18 -2 -19 -2 -19 -2 -18 -2 -19 -3 -18 -1 -21 -2 -21 0 -20 -2 -20 -1 -19 -1 -21 -1 -21 0 -18 2 -20 1 -20 1 -19 2 -20 3 -17 4 -20 3 -21 5 -20 4
15,0.1407,ac:15:18:d4:c9:64,128,44 -64 2 0 -11 -9 -10 -9 -11 -9 -10 -8 -10 -9 -10 -9 -10 -8 -11 -7 -11 -8 -11 -9 -10 -8 -11 -8 -10 -8 -12 -8 -11 -9 -11 -9 -11 -9 -10 -9 -9 -9 -8 -9 -9 -8 -8 -9 -7 -9 -7 -8 -6 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -9 -6 -9 -6 -10 -7 -10 -6 -10 -6 -10 -7 -11 -5 -10 -7 -10 -6 -10 -6 -12 -7 -11 -6 -11 -6 -11 -6 -10 -8 -11 -7 -10 -8 -9 -7 -10 -8 -10 -8 -9 -9 -9 -8 -9 -8 -10 -10 -10 -9 -10
17,0.1617,ac:15:18:d4:c9:64,128,44 -64 2 0 -18 -15 -18 -15 -18 -13 -17 -13 -17 -12 -18 -12 -17 -11 -19 -11 -17 -12 -18 -12 -17 -11 -18 -12 -18 -11 -19 -12 -19 -14 -18 -13 -17 -13 -16 -13 -16 -12 -15 -12 -15 -12 -13 -12 -12 -13 -11 -13 -11 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 -15 -10 -14 -10 -15 -11 -16 -10 -15 -10 -16 -11 -16 -10 -15 -11 -16 -10 -15 -10 -18 -11 -18 -10 -18 -11 -17 -11 -16 -13 -18 -13 -16 -13 -14 -13 -15 -13 -15 -14 -14 -15 -14 -14 -13 -14 -16 -16 -15 -15 -15
19,0.1799,ac:15:18:d4:c9:64,128,44 -64 2 0 -23 -2 -23 -2 -22 1 -20 0 -22 -2 -21 0 -20 -1 -22 0 -20 1 -22 2 -20 2 -21 2 -21 1 -22 1 -23 -1 -23 0 -20 -1 -21 -4 -19 -3 -19 -3 -19 -4 -18 -3 -18 -3 -17 -3 -16 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -4 -17 -5 -18 -5 -19 -5 -18 -5 -17 -6 -19 -7 -17 -6 -19 -7 -18 -5 -20 -6 -20 -5 -19 -5 -20 -5 -18 -5 -21 -6 -20 -5 -18 -3 -19 -5 -19 -5 -18 -4 -20 -4 -19 -1 -20 -2 -23 -1 -21 -2
